BASE_YEAR,BOAT_NO,PRACE_NCNT,N1CK_NCNT,N2CK_NCNT,N3CK_NCNT,AVRG_CKSN_SCORE_VALUE,YUNDAE_RT,BEST_SAIL_TIME_VALUE,N2JU_BEST_TIME_VALUE,N3JU_BEST_TIME_VALUE
2023,B2016045,184,44,36,31,6.02,43.5,01:14.9,01:14.9,01:57.2
2023,B2016046,221,38,39,24,5.1,34.8,01:15.3,01:15.3,01:57.7
2023,B2016047,129,13,17,18,4.24,23.3,01:17.1,01:17.1,01:58.9
2023,B2016048,151,12,17,26,4.07,19.2,01:16.4,01:16.4,01:58.6
2023,B2016026,205,40,46,41,5.76,42,01:15.0,01:15.0,01:56.5
2023,B2016027,198,43,34,34,5.67,38.9,01:15.8,01:15.8,01:53.7
2023,B2016028,200,30,36,33,5.18,33,01:15.2,01:15.2,01:55.1
2023,B2016029,183,19,22,37,4.63,22.4,01:16.6,01:16.6,02:00.4
2023,B2016030,194,37,35,28,5.24,37.1,01:15.4,01:15.4,01:56.8
2023,B2016031,215,30,36,38,5.07,30.7,01:15.7,01:15.7,01:58.8
2023,B2016032,184,21,26,28,4.41,25.5,01:16.8,01:16.8,01:55.2
2023,B2016020,154,10,16,24,4.01,16.9,01:17.6,01:17.6,02:00.5
2023,B2016021,209,35,26,45,5.09,29.2,01:15.6,01:15.6,01:55.1
2023,B2016022,186,33,21,31,4.97,29,01:15.1,01:15.1,01:55.8
2023,B2016023,17,4,5,0,5.65,52.9,01:16.7,01:16.7,01:53.0
2023,B2016024,161,15,20,28,4.3,21.7,01:16.6,01:16.6,01:56.8
2023,B2016025,88,3,4,11,2.99,8,01:17.6,01:17.6,01:59.7
2023,B2016001,181,31,26,38,5.31,31.5,01:15.2,01:15.2,02:00.0
2023,B2016002,197,41,35,39,5.92,38.6,01:15.4,01:15.4,01:57.3
2023,B2016003,213,51,29,30,5.46,37.6,01:15.7,01:15.7,01:54.8
2023,B2016004,89,21,12,15,5.45,37.1,01:15.6,01:15.6,01:53.9
2023,B2016005,213,64,39,25,6.14,48.4,01:15.0,01:15.0,01:55.0
2023,B2016006,181,43,32,28,5.72,41.4,01:15.4,01:15.4,01:59.7
2023,B2016007,216,40,41,48,5.67,37.5,01:14.0,01:14.0,01:57.3
2023,B2016008,212,46,42,34,5.63,41.5,01:14.8,01:14.8,01:55.4
2023,B2016009,186,30,29,34,5.19,31.7,01:15.6,01:15.6,01:56.2
2023,B2020102,178,24,28,43,5.17,29.2,01:12.8,01:12.8,:.
2023,B2020103,172,26,32,39,5.38,33.7,01:12.4,01:12.4,:.
2023,B2020104,157,39,33,26,6.01,45.9,01:12.2,01:12.2,:.
2023,B2016033,207,36,49,39,5.85,41.1,01:16.0,01:16.0,01:56.7
2023,B2016034,197,36,28,34,5.24,32.5,01:16.0,01:16.0,01:56.9
2023,B2016035,215,37,33,40,5.35,32.6,01:14.7,01:14.7,01:57.8
2023,B2016036,162,14,24,22,4.18,23.5,01:15.4,01:15.4,01:59.5
2023,B2016037,177,16,23,36,4.6,22,01:15.3,01:15.3,01:57.4
2023,B2016038,213,42,43,37,5.72,39.9,01:15.3,01:15.3,01:55.5
2023,B2016039,206,34,38,31,5.19,35,01:15.1,01:15.1,01:56.1
2023,B2016040,69,9,11,11,4.71,29,01:16.9,01:16.9,01:53.8
2023,B2016041,227,29,40,36,4.98,30.4,01:16.2,01:16.2,01:57.5
2023,B2018052,135,24,20,32,5.66,32.6,01:14.6,01:14.6,01:54.3
2023,B2018053,186,37,29,35,5.53,35.5,01:14.8,01:14.8,01:56.2
2023,B2018054,185,31,30,35,5.23,33,01:15.2,01:15.2,01:53.2
2023,B2018055,186,31,29,31,5.13,32.3,01:14.8,01:14.8,01:53.5
2023,B2018056,148,19,23,24,4.79,28.4,01:14.7,01:14.7,01:53.8
2023,B2018057,185,30,26,34,5.21,30.3,01:14.7,01:14.7,01:52.6
2023,B2020105,123,9,17,22,4.24,21.1,01:13.5,01:13.5,:.
2023,B2020106,171,19,29,27,4.73,28.1,01:13.1,01:13.1,:.
2023,B2020107,163,20,22,18,4.4,25.8,01:12.3,01:12.3,:.
2023,B2020108,132,21,15,25,4.76,27.3,01:13.1,01:13.1,:.
2023,B2020109,171,28,22,30,5.08,29.2,01:13.6,01:13.6,:.
2023,B2020110,167,36,27,24,5.45,37.7,01:12.5,01:12.5,:.
2023,B2020087,183,37,32,29,5.46,37.7,01:12.1,01:12.1,:.
2023,B2020088,104,5,13,17,3.88,17.3,01:14.0,01:14.0,:.
2023,B2020089,167,38,30,30,5.71,40.7,01:12.5,01:12.5,:.
2023,B2020090,166,41,28,20,5.75,41.6,01:12.2,01:12.2,:.
2023,B2020091,129,26,27,21,5.65,41.1,01:13.1,01:13.1,:.
2023,B2020092,178,26,24,34,4.92,28.1,01:12.8,01:12.8,:.
2023,B2020093,173,32,38,28,5.63,40.5,01:12.2,01:12.2,:.
2023,B2020094,182,28,36,24,5.19,35.2,01:12.3,01:12.3,:.
2023,B2020095,155,21,34,26,5.09,35.5,01:12.8,01:12.8,:.
2023,B2020096,178,28,32,30,5.17,33.7,01:12.5,01:12.5,:.
2023,B2020097,182,34,29,27,5.08,34.6,01:12.4,01:12.4,:.
2023,B2020098,176,27,39,26,5.34,37.5,01:13.1,01:13.1,:.
2023,B2020099,167,38,27,19,5.39,38.9,01:12.5,01:12.5,:.
2023,B2020100,173,27,31,29,5.18,33.5,01:12.6,01:12.6,:.
2023,B2018092,163,38,24,23,5.52,38,01:15.2,01:15.2,01:56.0
2023,B2016104,218,43,40,39,5.56,38.1,01:16.5,01:16.5,01:55.6
2023,B2016105,184,26,25,26,4.71,27.7,01:16.0,01:16.0,02:00.8
2023,B2016106,189,18,26,41,4.6,23.3,01:14.9,01:14.9,02:00.1
2023,B2020101,143,46,20,30,6.49,46.2,01:12.3,01:12.3,:.
2023,B2018010,164,24,26,29,5.04,30.5,01:14.7,01:14.7,01:54.6
2023,B2018011,175,35,26,26,5.23,34.9,01:14.7,01:14.7,01:52.8
2023,B2018012,132,12,24,24,4.73,27.3,01:15.9,01:15.9,01:55.5
2023,B2018013,187,33,23,35,5.07,29.9,01:14.9,01:14.9,01:55.4
2023,B2018014,190,33,37,35,5.37,36.8,01:15.0,01:15.0,01:54.2
2023,B2018015,162,22,25,23,4.73,29,01:14.7,01:14.7,01:55.7
2023,B2018016,198,41,31,32,5.44,36.4,01:14.4,01:14.4,01:54.5
2023,B2018017,167,23,35,22,4.96,34.7,01:15.4,01:15.4,01:54.0
2023,B2018018,164,31,24,33,5.24,33.5,01:13.7,01:13.7,01:54.9
2023,B2018019,159,44,27,33,6.3,44.7,01:14.1,01:14.1,01:51.4
2023,B2018020,170,24,34,33,5.26,34.1,01:15.4,01:15.4,01:52.7
2023,B2018021,173,39,28,28,5.53,38.7,01:14.6,01:14.6,01:54.6
2023,B2018022,151,24,32,21,5.29,37.1,01:14.3,01:14.3,01:53.7
2023,B2020007,188,38,34,26,5.44,38.3,01:13.0,01:13.0,:.
2023,B2020008,153,23,30,34,5.35,34.6,01:13.0,01:13.0,:.
2023,B2020009,168,28,31,26,5.37,35.1,01:12.6,01:12.6,:.
2023,B2018084,141,22,22,29,5.01,31.2,01:15.1,01:15.1,01:53.4
2023,B2018085,117,12,12,18,4.01,20.5,01:15.7,01:15.7,01:53.8
2023,B2018086,121,10,16,12,4.04,21.5,01:15.5,01:15.5,01:54.0
2023,B2020043,148,32,38,13,5.91,47.3,01:12.4,01:12.4,:.
2023,B2020044,142,28,24,27,5.58,36.6,01:12.9,01:12.9,:.
2023,B2020045,147,41,24,22,6.03,44.2,01:12.0,01:12.0,:.
